order_id,customer_id,order_date,channel,device,region,segment,product_category,quantity,gross_revenue,discount_amount,net_revenue,is_new_customer
ORD-100334,CUST-10285,17/06/2025,EMAIL,Mobile,South East,Anti-Ageing,Moisturiser,1,49.69,4.97,44.72,True
ORD-100854,CUST-10625,2026-03-20,Affiliate,Desktop,North West,Anti-Ageing,SPF,1,45.18,0.0,45.18,False
ORD-100559,CUST-10211,2025-10-22,Meta Ads,Mobile,South East,Anti-Ageing,Moisturiser,1,46.97,0.0,46.97,False
ORD-100507,CUST-10412,2025-09-23,Google Shopping,Mobile,London,Sensitive Skin,Cleanser,3,81.62,0.0,81.62,True
ORD-101040,CUST-10758,2026-06-01,Meta Ads,Desktop,Scotland,Hydration & Glow,Serum,3,69.48,0.0,69.48,True
ORD-100052,CUST-10050,2025-02-04,Google Search,Desktop,North West,Anti-Ageing,Moisturiser,1,44.62,0.0,44.62,True
ORD-100905,CUST-10676,2026-04-12,Direct,Mobile,London,Hydration & Glow,Mask,1,35.45,0.0,35.45,True
ORD-100182,CUST-10168,2025-04-11,Meta Ads,Desktop,Scotland,Anti-Ageing,Serum,3,85.63,0.0,85.63,True
ORD-100010,CUST-10010,2025-01-06,Email,Mobile,London,Hydration & Glow,Moisturiser,1,34.9,3.49,31.41,True
ORD-100814,CUST-10180,2026-02-27,Organic Search,Desktop,South East,Anti-Ageing,Moisturiser,1,52.83,0.0,52.83,False
ORD-100591,CUST-10470,2025-11-09,GOOGLE SEARCH,Mobile,London,Anti-Ageing,Serum,1,39.96,0.0,39.96,True
ORD-100245,CUST-10217,2025-05-07,Organic Search,Mobile,London,Acne & Blemish,Cleanser,2,34.11,0.0,34.11,True
ORD-100766,CUST-10578,2026-01-31,Google Search,Mobile,Scotland,Acne & Blemish,Serum,1,23.77,2.38,21.39,True
ORD-101089,CUST-10793,2026-06-23,Facebook/Instagram Ads,Desktop,London,Anti-Ageing,Set/Bundle,1,56.02,0.0,56.02,True
ORD-100911,CUST-10679,15/04/2026,Direct,Desktop,North West,Anti-Ageing,Mask,1,45.31,0.0,45.31,True
ORD-101105,CUST-10806,2026-06-29,Google Search,Desktop,London,Hydration & Glow,Serum,3,59.46,0.0,59.46,True
ORD-100017,CUST-10017,10/01/2025,Meta Ads,Mobile,London,Sensitive Skin,Moisturiser,2,46.21,0.0,46.21,True
ORD-100577,CUST-10214,2025-11-01,Direct,Mobile,London,Hydration & Glow,Moisturiser,1,32.21,3.22,28.99,False
ORD-100667,CUST-10515,03/12/2025,Google Shopping,Desktop,South East,Hydration & Glow,Serum,3,63.32,8.32,55.0,True
ORD-100676,CUST-10378,2025-12-06,Google  Search,Mobile,London,Acne & Blemish,Mask,1,31.5,5.23,26.27,False
ORD-100827,CUST-10620,2026-03-05,Organic Search,Mobile,Scotland,Anti-Ageing,Serum,2,66.57,6.66,59.91,True
ORD-100184,CUST-10170,2025-04-13,Google Search,Desktop,South East,Hydration & Glow,Moisturiser,1,29.77,0.0,29.77,True
ORD-100313,CUST-10267,04/06/2025,Google Shopping,Mobile,London,Anti-Ageing,Set/Bundle,1,44.3,0.0,44.3,True
ORD-100878,CUST-10657,28/03/2026,Organic Search,Mobile,North West,Sensitive Skin,Serum,1,37.77,0.0,37.77,True
ORD-100117,CUST-10113,2025-03-10,Organic Search,Desktop,South East,Sensitive Skin,Moisturiser,1,34.29,0.0,34.29,True
ORD-101066,CUST-10131,12/06/2026,meta ads,Desktop,Scotland,Anti-Ageing,Moisturiser,2,67.11,0.0,67.11,False
ORD-100268,CUST-10235,2025-05-17,SEO,Desktop,London,Acne & Blemish,Set/Bundle,3,60.1,0.0,60.1,True
ORD-100862,CUST-10615,24/03/2026,Organic_Search,Desktop,South East,Hydration & Glow,Serum,1,26.37,0.0,26.37,False
ORD-100239,CUST-10213,2025-05-04,email,Desktop,South East,Hydration & Glow,Mask,1,28.67,0.0,28.67,True
ORD-100265,CUST-10232,2025-05-16,Email,Desktop,Other UK,Anti-Ageing,Mask,1,39.01,3.9,35.11,True
ORD-100885,CUST-10663,2026-04-01,Email,Desktop,South East,Hydration & Glow,SPF,1,32.97,0.0,0.0,True
ORD-100342,CUST-10292,2025-06-19,Meta Ads,Desktop,London,Hydration & Glow,Moisturiser,1,29.42,0.0,29.42,True
ORD-100110,CUST-10106,2025-03-07,Email,Desktop,South East,Anti-Ageing,SPF,2,66.15,0.0,66.15,True
ORD-100082,CUST-10080,2025-02-19,Email,Desktop,South East,Hydration & Glow,SPF,2,50.52,5.05,45.47,True
ORD-100504,CUST-10178,22/09/2025,Google Shopping,Mobile,South East,Hydration & Glow,Moisturiser,1,38.68,0.0,38.68,False
ORD-100430,CUST-10357,2025-08-09,Meta Ads,Tablet,North West,Anti-Ageing,Cleanser,1,43.25,0.0,43.25,True
ORD-100104,CUST-10102,2025-03-03,Google  Search,Mobile,London,Sensitive Skin,Mask,1,31.52,3.15,28.37,True
ORD-100457,CUST-10375,2025-08-24,Affiliate,Desktop,London,Sensitive Skin,Moisturiser,1,35.08,0.0,35.08,True
ORD-100916,CUST-10682,17/04/2026,Google Search,Mobile,Scotland,Acne & Blemish,Mask,1,22.74,0.0,22.74,True
ORD-100208,CUST-10190,2025-04-23,Organic Search,Desktop,South East,Sensitive Skin,Set/Bundle,1,29.03,0.0,29.03,True
ORD-100147,CUST-10140,2025-03-27,Organic Search,Tablet,South East,Hydration & Glow,Cleanser,1,32.9,0.0,32.9,True
ORD-100412,CUST-10159,2025-07-28,Meta Ads,Desktop,London,Hydration & Glow,Moisturiser,2,46.69,0.0,46.69,False
ORD-100539,CUST-10434,2025-10-10,Meta Ads,Mobile,Other UK,Hydration & Glow,SPF,1,30.43,0.0,30.43,True
ORD-100092,CUST-10090,25/02/2025,Organic Search,Mobile,Other UK,Hydration & Glow,Cleanser,1,31.32,0.0,31.32,True
ORD-101003,CUST-10738,20/05/2026,Email,Mobile,Scotland,Sensitive Skin,Moisturiser,2,44.96,0.0,44.96,True
ORD-100540,CUST-10435,10/10/2025,Affiliate,Mobile,North West,Sensitive Skin,Moisturiser,1,40.51,0.0,40.51,True
ORD-100588,CUST-10467,07/11/2025,Google_Shopping,Mobile,South East,Hydration & Glow,Moisturiser,2,53.47,0.0,53.47,True
ORD-100754,CUST-10569,2026-01-19,Organic Search,Desktop,London,Anti-Ageing,Moisturiser,1,42.2,4.22,37.98,True
ORD-100499,CUST-10201,2025-09-18,Google Search,Desktop,London,Hydration & Glow,SPF,2,52.22,0.0,52.22,False
ORD-100040,CUST-10039,2025-01-29,Direct,Mobile,Scotland,Hydration & Glow,SPF,1,37.02,0.0,37.02,True
ORD-101062,CUST-10773,10/06/2026,Meta Ads,Mobile,Other UK,Hydration & Glow,Cleanser,2,44.94,4.49,40.45,True
ORD-100943,CUST-10697,2026-04-26,Google Shopping,Mobile,London,Acne & Blemish,Set/Bundle,1,26.23,0.0,26.23,True
ORD-100779,CUST-10589,2026-02-10,Google Search,Mobile,North West,Hydration & Glow,Serum,2,42.9,4.29,38.61,True
ORD-100719,CUST-10547,30/12/2025,Google Search,Mobile,London,Sensitive Skin,Cleanser,1,39.4,0.0,39.4,True
ORD-100662,CUST-10512,2025-12-02,GOOGLE SEARCH,Mobile,South East,Acne & Blemish,Mask,2,43.57,7.47,36.1,True
ORD-101037,CUST-10756,2026-06-01,Email,Tablet,London,Acne & Blemish,Cleanser,2,47.08,0.0,47.08,True
ORD-100771,CUST-10581,2026-02-05,Meta Ads,Desktop,London,Hydration & Glow,Set/Bundle,2,49.13,0.0,49.13,True
ORD-100462,CUST-10380,29/08/2025,Organic Search,Desktop,South East,Hydration & Glow,SPF,2,50.46,0.0,50.46,True
ORD-100091,CUST-10089,2025-02-24,email,Desktop,London,Sensitive Skin,Moisturiser,1,35.75,0.0,35.75,True
ORD-100975,CUST-10721,2026-05-12,Direct,Desktop,Scotland,Acne & Blemish,Serum,1,28.19,2.82,25.37,True
ORD-100367,CUST-10312,2025-07-01,Email,Desktop,North West,Acne & Blemish,Mask,1,26.38,0.0,26.38,True
ORD-100892,CUST-10667,2026-04-04,SEO,Mobile,South East,Acne & Blemish,Serum,1,22.38,2.24,20.14,True
ORD-100690,CUST-10104,12/12/2025,Meta_Ads,Mobile,Scotland,Anti-Ageing,SPF,1,42.87,7.4,35.47,False
ORD-100580,CUST-10461,2025-11-03,Meta_Ads,Desktop,South East,Acne & Blemish,Moisturiser,2,37.97,0.0,37.97,True
ORD-100755,CUST-10570,2026-01-20,Email Marketing,Desktop,North West,Sensitive Skin,Cleanser,1,33.73,3.37,30.36,True
ORD-100999,CUST-10737,19/05/2026,Meta Ads,Desktop,Other UK,Acne & Blemish,SPF,1,22.78,0.0,22.78,True
ORD-100383,CUST-10280,09/07/2025,FB/IG Ads,Desktop,Scotland,Acne & Blemish,SPF,2,48.8,0.0,48.8,False
ORD-100879,CUST-10658,2026-03-29,Direct,Desktop,Scotland,Hydration & Glow,Set/Bundle,1,25.14,2.51,22.63,True
ORD-101074,CUST-10301,16/06/2026,Google Search,Mobile,South East,Anti-Ageing,Cleanser,3,77.2,0.0,77.2,False
ORD-100388,CUST-10330,2025-07-14,Meta Ads,Desktop,London,Acne & Blemish,Cleanser,1,27.68,0.0,27.68,True
ORD-100041,CUST-10040,30/01/2025,Google Shopping,Mobile,London,Hydration & Glow,Moisturiser,1,31.81,0.0,31.81,True
ORD-100855,CUST-10641,20/03/2026,Affiliate,Mobile,South East,Acne & Blemish,Set/Bundle,1,26.18,0.0,26.18,True
ORD-100121,CUST-10117,2025-03-12,GOOGLE SEARCH,Mobile,South East,Anti-Ageing,Moisturiser,1,43.3,0.0,43.3,True
ORD-100834,CUST-10625,2026-03-11,google search,Tablet,North West,Anti-Ageing,Mask,1,41.79,0.0,41.79,True
ORD-100641,CUST-10211,28/11/2025,SEO,Desktop,South East,Anti-Ageing,Cleanser,1,46.16,10.1,36.06,False
ORD-100486,CUST-10397,12/09/2025,Organic Search,Tablet,South East,Sensitive Skin,Serum,2,56.01,0.0,56.01,True
ORD-100720,CUST-10548,2025-12-30,Google Shopping,Desktop,South East,Acne & Blemish,SPF,1,27.03,0.0,27.03,True
ORD-100237,CUST-10187,2025-05-04,Organic Search,Desktop,Other UK,Hydration & Glow,Serum,1,30.01,0.0,30.01,False
ORD-101087,CUST-10791,22/06/2026,Google Shopping,Mobile,Scotland,Acne & Blemish,Mask,2,32.91,0.0,32.91,True
ORD-100369,CUST-10313,2025-07-03,Google Search,Desktop,Other UK,Sensitive Skin,Cleanser,1,33.68,3.37,30.31,True
ORD-100442,CUST-10297,2025-08-15,Direct,Desktop,London,Anti-Ageing,Serum,1,40.98,0.0,40.98,False
ORD-100822,CUST-10617,04/03/2026,Organic Search,Desktop,North West,Hydration & Glow,Set/Bundle,3,50.35,0.0,50.35,True
ORD-100201,CUST-10184,2025-04-22,Google Search,Desktop,London,Hydration & Glow,Moisturiser,1,33.68,0.0,33.68,True
ORD-100919,CUST-10462,2026-04-18,Google Search,Mobile,London,Sensitive Skin,SPF,1,36.54,0.0,36.54,False
ORD-100233,CUST-10164,2025-05-03,Google  Search,Mobile,Other UK,Sensitive Skin,Serum,1,39.69,0.0,39.69,False
ORD-100727,CUST-10552,2026-01-03,Organic Search,Desktop,North West,Acne & Blemish,Serum,2,39.64,0.0,39.64,True
ORD-100328,CUST-10280,2025-06-15,Email,Desktop,Scotland,Acne & Blemish,Moisturiser,3,51.75,0.0,51.75,True
ORD-100320,CUST-10273,2025-06-09,Email,Tablet,London,Sensitive Skin,Moisturiser,2,48.4,0.0,48.4,True
ORD-100354,CUST-10302,2025-06-24,Affiliate,Mobile,Scotland,Acne & Blemish,Serum,1,28.58,0.0,28.58,True
ORD-100974,CUST-10720,2026-05-11,Google_Shopping,Desktop,North West,Hydration & Glow,Mask,1,34.82,0.0,34.82,True
ORD-100174,CUST-10161,2025-04-09,Meta Ads,Mobile,South East,Anti-Ageing,Cleanser,3,85.46,0.0,85.46,True
ORD-100356,CUST-10133,2025-06-25,Organic Search,Desktop,South East,Sensitive Skin,Moisturiser,1,31.32,3.13,28.19,False
ORD-100301,CUST-10058,29/05/2025,Email Marketing,Mobile,North West,Hydration & Glow,Set/Bundle,3,65.92,6.59,59.33,False
ORD-100518,CUST-10420,29/09/2025,Email,Mobile,North West,Sensitive Skin,Cleanser,1,25.19,0.0,25.19,True
ORD-100748,CUST-10330,2026-01-15,Google Shopping,Desktop,London,Acne & Blemish,Serum,1,28.09,0.0,28.09,False
ORD-101014,CUST-10376,2026-05-24,Email,Desktop,Other UK,Hydration & Glow,Moisturiser,1,34.0,0.0,34.0,False
ORD-100283,CUST-10246,2025-05-22,Email,Mobile,South East,Hydration & Glow,Moisturiser,1,34.12,0.0,34.12,True
ORD-100196,CUST-10037,2025-04-19,Google Search,Tablet,Scotland,Anti-Ageing,Moisturiser,1,38.36,3.84,34.52,False
ORD-100780,CUST-10377,2026-02-10,Google Shopping,Mobile,London,Acne & Blemish,Serum,1,21.96,0.0,21.96,False
ORD-100132,CUST-10127,19/03/2025,Google Search,Mobile,London,Sensitive Skin,Moisturiser,2,51.51,0.0,51.51,True
ORD-101106,CUST-10441,2026-06-29,Email,Desktop,London,Anti-Ageing,Serum,1,44.73,0.0,44.73,False
ORD-100867,CUST-10566,2026-03-25,meta ads,Desktop,Other UK,Anti-Ageing,Cleanser,1,45.12,0.0,45.12,False
ORD-100373,CUST-10317,2025-07-04,Email,Mobile,Scotland,Sensitive Skin,Serum,1,27.1,2.71,24.39,True
ORD-100699,CUST-10534,2025-12-15,Organic Search,Desktop,North West,Sensitive Skin,Mask,1,37.34,5.35,31.99,True
ORD-100969,CUST-10646,2026-05-09,Google_Search,Desktop,North West,Acne & Blemish,Mask,1,25.59,0.0,25.59,False
ORD-100883,CUST-10662,31/03/2026,Direct,Desktop,Scotland,Anti-Ageing,Mask,1,42.31,0.0,42.31,True
ORD-100275,CUST-10240,2025-05-19,Email,Mobile,London,Sensitive Skin,SPF,1,29.21,2.92,26.29,True
ORD-100249,CUST-10170,09/05/2025,Direct,Mobile,South East,Hydration & Glow,Serum,1,27.7,0.0,27.7,False
ORD-100309,CUST-10263,2025-05-31,Meta Ads,Mobile,London,Hydration & Glow,Moisturiser,1,33.74,0.0,33.74,True
ORD-100380,CUST-10324,2025-07-08,Email,Desktop,North West,Hydration & Glow,Set/Bundle,1,30.35,0.0,30.35,True
ORD-100851,CUST-10638,19/03/2026,Google  Search,Desktop,London,Acne & Blemish,SPF,1,27.55,0.0,27.55,True
ORD-101039,CUST-10389,2026-06-01,Google Shopping,Desktop,North West,Hydration & Glow,Mask,2,49.0,4.9,44.1,False
ORD-100081,CUST-10079,2025-02-18,Meta Ads,Desktop,South East,Anti-Ageing,Serum,1,42.76,0.0,42.76,True
ORD-100548,CUST-10441,15/10/2025,Organic Search,Mobile,London,Anti-Ageing,Serum,1,39.87,0.0,39.87,True
ORD-100683,CUST-10522,09/12/2025,Google Shopping,Mobile,Other UK,Hydration & Glow,Serum,1,35.99,4.56,31.43,True
ORD-100432,CUST-10359,2025-08-10,FB/IG Ads,Mobile,London,Hydration & Glow,Mask,1,35.04,0.0,35.04,True
ORD-100944,CUST-10698,2026-04-27,Google_Shopping,Mobile,London,Sensitive Skin,Moisturiser,2,57.47,0.0,57.47,True
ORD-100042,CUST-10041,2025-01-31,Meta Ads,Tablet,Other UK,Acne & Blemish,Serum,1,31.07,0.0,31.07,True
ORD-100708,CUST-10015,2025-12-21,Meta Ads,Mobile,Other UK,Anti-Ageing,Cleanser,1,40.69,5.6,35.09,False
ORD-100546,,2025-10-13,organic search,Desktop,Other UK,Sensitive Skin,Serum,2,48.85,4.89,43.96,True
ORD-101058,CUST-10770,09/06/2026,Meta Ads,Mobile,North West,Hydration & Glow,Set/Bundle,1,27.45,0.0,27.45,True
ORD-100054,CUST-10052,2025-02-06,Direct,Desktop,Other UK,Sensitive Skin,Moisturiser,1,38.04,0.0,38.04,True
ORD-100479,CUST-10145,2025-09-08,Google Search,Mobile,Scotland,Sensitive Skin,Cleanser,1,28.48,0.0,28.48,False
ORD-100538,CUST-10159,10/10/2025,Google Search,Desktop,London,Hydration & Glow,Moisturiser,1,34.95,0.0,-19.99,False
ORD-101022,CUST-10746,27/05/2026,Google Search,Mobile,South East,Acne & Blemish,Moisturiser,1,25.53,2.55,22.98,True
ORD-100506,CUST-10411,2025-09-22,email,Mobile,South East,Anti-Ageing  ,Moisturiser,3,75.3,7.53,67.77,True
ORD-101030,CUST-10750,29/05/2026,Meta Ads,Desktop,London,Acne & Blemish,Set/Bundle,1,23.5,0.0,23.5,True
ORD-100284,CUST-10200,2025-05-23,Google Search,Desktop,South East,Hydration & Glow,Serum,1,36.25,0.0,36.25,False
ORD-100066,CUST-10064,2025-02-13,Google Search,Mobile,South East,Acne & Blemish,Moisturiser,2,40.02,0.0,40.02,True
ORD-100555,CUST-10445,2025-10-18,Organic Search,Desktop,North West,Hydration & Glow,Cleanser,2,32.48,0.0,32.48,True
ORD-100632,CUST-10163,2025-11-26,EMAIL,Mobile,South East,Anti-Ageing,Serum,3,92.23,29.06,63.17,False
ORD-100101,CUST-10099,2025-03-01,Google Search,Mobile,North West,Acne & Blemish,Serum,2,39.18,0.0,39.18,True
ORD-100285,CUST-10247,2025-05-23,Google Search,Desktop,North West,Sensitive Skin,Moisturiser,2,48.56,0.0,48.56,True
ORD-100176,CUST-10163,2025-04-09,Direct,Mobile,South East,Anti-Ageing,Set/Bundle,3,72.73,0.0,72.73,True
ORD-100998,CUST-10736,19/05/2026,Google Search,Desktop,Scotland,Hydration & Glow,Moisturiser,1,23.49,0.0,23.49,True
ORD-100399,CUST-10109,19/07/2025,Google_Search,Desktop,London,Acne & Blemish,Mask,1,29.24,0.0,29.24,False
ORD-100368,CUST-10272,2025-07-02,Google Search,Desktop,South East,Anti-Ageing,Mask,1,44.12,0.0,44.12,False
ORD-100062,CUST-10060,2025-02-11,Google Search,Tablet,North West,Acne & Blemish,Serum,2,34.2,0.0,34.2,True
ORD-100149,CUST-10052,28/03/2025,Google Shopping,Tablet,Other UK,Sensitive Skin,Cleanser,1,31.49,3.15,28.34,False
ORD-100646,CUST-10337,2025-11-29,Google Search,Mobile,North West,Sensitive Skin,Cleanser,3,71.42,17.3,54.12,False
ORD-100601,CUST-10475,2025-11-13,GOOGLE SEARCH,Mobile,Other UK,Hydration & Glow,Moisturiser,1,34.92,0.0,34.92,True
ORD-100415,CUST-10026,2025-07-30,GOOGLE SEARCH,Mobile,Scotland,Acne & Blemish,Serum,1,25.82,0.0,25.82,False
ORD-100013,CUST-10013,2025-01-06,Email,Mobile,North West,Acne & Blemish,Cleanser,1,24.85,0.0,24.85,True
ORD-100532,CUST-10430,2025-10-08,meta ads,Mobile,South East,Acne & Blemish,SPF,3,43.48,0.0,43.48,True
ORD-100438,CUST-10361,2025-08-14,Organic_Search,Tablet,South East,Hydration & Glow,Moisturiser,1,35.49,0.0,35.49,True
ORD-100597,CUST-10473,11/11/2025,meta ads,Desktop,South East,Acne & Blemish,Moisturiser,2,43.3,0.0,43.3,True
ORD-100135,CUST-10129,21/03/2025,DIRECT,Desktop,London,Acne & Blemish,Set/Bundle,1,26.47,0.0,26.47,True
ORD-100496,CUST-10136,2025-09-16,Google Shopping,Mobile,Other UK,Sensitive Skin,SPF,1,38.69,0.0,38.69,False
ORD-100575,CUST-10457,31/10/2025,Email,Desktop,Scotland,Anti-Ageing,Serum,1,47.83,0.0,47.83,True
ORD-100816,CUST-10611,2026-03-01,Email,Mobile,Scotland,Hydration & Glow,Serum,1,24.84,0.0,24.84,True
ORD-100787,CUST-10594,12/02/2026,Meta Ads,Desktop,London,Hydration & Glow,SPF,1,30.93,0.0,30.93,True
ORD-100607,CUST-10114,2025-11-14,Meta Ads,Desktop,London,Hydration & Glow,SPF,1,34.12,0.0,34.12,False
ORD-100726,CUST-10255,2026-01-02,Organic Search,Desktop,North West,Acne & Blemish,SPF,1,16.53,0.0,16.53,False
ORD-100079,CUST-10077,2025-02-17,Organic Search,Mobile,South East,Hydration & Glow,Moisturiser,1,23.66,0.0,23.66,True
ORD-100347,CUST-10297,2025-06-21,Meta Ads,Mobile,London,Anti-Ageing,Serum,1,49.52,0.0,49.52,True
ORD-100894,CUST-10058,2026-04-07,Meta Ads,Tablet,North West,Hydration & Glow,Serum,1,32.44,0.0,32.44,False
ORD-100391,CUST-10332,2025-07-16,Meta_Ads,Desktop,North West,Anti-Ageing,Cleanser,1,39.91,3.99,35.92,True
ORD-100089,CUST-10087,2025-02-24,Google Search,Tablet,Scotland,Anti-Ageing,Set/Bundle,2,48.65,0.0,48.65,True
ORD-100539,CUST-10434,2025-10-10,Meta Ads,Mobile,Other UK,Hydration & Glow,SPF,1,30.43,0.0,30.43,True
ORD-100152,CUST-10144,29/03/2025,Google Shopping,Desktop,South East,Hydration & Glow,Cleanser,1,33.71,0.0,33.71,True
ORD-100107,CUST-10104,04/03/2025,Google Search,Tablet,Scotland,Anti-Ageing,Mask,1,40.88,0.0,40.88,True
ORD-100922,CUST-10260,18/04/2026,Google Search,Mobile,North West,Acne & Blemish,Serum,2,38.33,0.0,38.33,False
ORD-100774,CUST-10584,05/02/2026,Organic Search,Desktop,Other UK,Anti-Ageing,Moisturiser,2,69.02,0.0,69.02,True
ORD-100795,CUST-10598,2026-02-16,Direct,Desktop,Other UK,Anti-Ageing,Set/Bundle,1,39.05,3.9,35.15,True
ORD-101010,CUST-10494,22/05/2026,Organic Search,Desktop,Other UK,Sensitive Skin,Serum,1,30.47,0.0,30.47,False
ORD-100297,CUST-10217,2025-05-27,Direct,Mobile,London,Acne & Blemish,Cleanser,2,41.39,4.14,37.25,False
ORD-100605,CUST-10130,2025-11-13,Google Search,Mobile,London,Anti-Ageing,Moisturiser,2,66.59,0.0,66.59,False
ORD-100001,CUST-10001,2025-01-01,Affiliate,Mobile,Scotland,Sensitive Skin,Cleanser,1,32.62,3.26,29.36,True
ORD-100160,CUST-10149,03/04/2025,Google Search,Tablet,North West,Hydration & Glow,SPF,1,29.08,0.0,29.08,False
ORD-100021,CUST-10021,11/01/2025,Meta Ads,Mobile,South East,Acne & Blemish,Cleanser,2,36.42,3.64,32.78,True
ORD-100112,CUST-10108,2025-03-08,Meta Ads,Desktop,Other UK,Acne & Blemish,Cleanser,1,29.14,0.0,29.14,True
ORD-100682,CUST-10521,2025-12-08,Direct,Desktop,Other UK,Anti-Ageing,Moisturiser,2,73.5,11.23,62.27,True
ORD-100930,CUST-10087,2026-04-21,Google Shopping,Mobile,Scotland,Anti-Ageing,Serum,1,35.02,3.5,31.52,False
ORD-100694,CUST-10394,2025-12-14,Meta Ads,Mobile,North West,Sensitive Skin,Cleanser,1,34.34,4.56,29.78,False
ORD-100431,CUST-10358,10/08/2025,Organic Search,Desktop,London,Hydration & Glow,Mask,3,70.42,0.0,70.42,True
ORD-100290,CUST-10250,2025-05-24,DIRECT,Tablet,North West,Acne & Blemish,Moisturiser,1,22.44,0.0,22.44,True
ORD-100211,CUST-10188,2025-04-27,Google Search,Mobile,South East,Anti-Ageing,Cleanser,1,41.39,0.0,41.39,False
ORD-100093,CUST-10091,25/02/2025,Affiliate,Mobile,North West,Acne & Blemish,Moisturiser,1,25.63,2.56,23.07,True
ORD-101029,CUST-10749,2026-05-29,Meta Ads,Desktop,North West,Acne & Blemish,Cleanser,1,31.14,0.0,31.14,True
ORD-100880,CUST-10659,2026-03-29,Google Search,Mobile,Other UK,Acne & Blemish,Cleanser,2,35.92,0.0,35.92,True
ORD-100476,CUST-10390,2025-09-06,Organic Search,Mobile,South East,Acne & Blemish,Mask,1,28.3,0.0,28.3,True
ORD-100194,CUST-10180,2025-04-19,GOOGLE SEARCH,Mobile,South East,Anti-Ageing,Moisturiser,1,45.0,4.5,40.5,True
ORD-100543,CUST-10438,11/10/2025,Meta Ads,Mobile,Other UK,Acne & Blemish,Serum,1,23.63,0.0,23.63,True
ORD-100005,CUST-10005,04/01/2025,organic search,Desktop,South East,Hydration & Glow,Serum,1,32.05,0.0,32.05,True
ORD-101008,CUST-10039,2026-05-21,Email,Tablet,Scotland,Hydration & Glow,Serum,1,27.49,0.0,27.49,False
ORD-100574,CUST-10422,2025-10-30,Affiliate,Mobile,London,Anti-Ageing,Serum,1,43.92,0.0,43.92,False
ORD-100839,CUST-10211,2026-03-12,Organic Search,Mobile,South East,Anti-Ageing,Serum,1,43.89,0.0,43.89,False
ORD-100898,CUST-10671,2026-04-08,Affiliate,Tablet,Scotland,Sensitive Skin,Serum,1,36.09,0.0,36.09,True
ORD-100765,CUST-10221,30/01/2026,Meta Ads,Desktop,South East,Sensitive Skin,Cleanser,2,65.59,6.56,59.03,False
