date,channel,device,sessions,add_to_cart,begin_checkout,purchases
2026-03-22,FB/IG Ads,Desktop,11,0,0,0
2025-06-22,Affiliate,Tablet,0,0,0,0
2025-07-01,Google Search,Desktop,4,0,0,0
2025-11-21,Direct,Mobile,7,1,0,0
2025-02-15,Organic Search,Desktop,4,0,0,0
2025-03-04,GOOGLE SHOPPING,Tablet,0,0,0,0
2025-10-04,Email,Desktop,1,0,0,0
2025-01-10,Google Search,Mobile,5,0,0,0
2026-02-03,Affiliate ,Mobile,4,0,0,0
2026-03-24,Affiliate,Mobile,3,1,1,1
2025-02-05,Affiliate,Mobile,3,0,0,0
2025-07-14,Affiliate,Mobile,1,0,0,0
2026-03-03,Meta Ads,Mobile,11,1,0,0
2025-02-10,Meta Ads,Mobile,12,2,0,0
2025-04-07,Google  Search,Tablet,1,0,0,0
2025-09-21,Affiliate,Desktop,0,0,0,0
2026-01-14,Google Shopping,Mobile,4,0,0,0
2025-09-12,Meta_Ads,Tablet,0,0,0,0
2026-04-01,affiliate,Tablet,0,0,0,0
2025-06-26,Meta Ads,Tablet,2,0,0,0
2026-02-22,Email,Mobile,6,0,0,0
2025-10-10,Google Search,Desktop,6,1,1,0
2026-03-07,meta ads,Tablet,0,0,0,0
2026-05-07,Organic Search,Mobile,11,1,0,0
2025-09-18,SEO,Mobile,12,2,1,0
2025-03-24,affiliate,Desktop,1,0,0,0
2026-03-22,Affiliate,Tablet,1,0,0,0
2026-03-13,Affiliate,Desktop,1,0,0,0
2025-03-17,Organic Search,Tablet,0,0,0,0
2025-08-10,affiliate,Desktop,0,0,0,0
2026-06-07,Meta Ads,Mobile,18,2,0,0
2026-04-04,Meta Ads,Tablet,0,0,0,0
2025-08-13,Email,Desktop,0,0,0,0
2025-09-18,google shopping,Desktop,2,0,0,0
2025-08-24,EMAIL,Mobile,4,0,0,0
2025-12-23,Meta_Ads,Tablet,2,0,0,0
2025-01-24,Organic Search,Mobile,2,2,2,1
2026-01-13,Direct,Desktop,2,0,0,0
2026-03-23,Google Shopping,Tablet,0,0,0,0
2025-06-06,Meta Ads,Mobile,14,0,0,0
2025-01-23,Email,Desktop,3,0,0,0
2025-09-14,Meta Ads,Tablet,2,0,0,0
2026-02-06,Direct,Desktop,2,0,0,0
2025-04-27,Meta Ads,Mobile,10,0,0,0
2026-05-29,Organic Search,Mobile,7,0,0,0
2026-03-11,Organic Search,Tablet,1,0,0,0
2025-05-07,Meta Ads,Mobile,8,0,0,0
2025-04-24,Affiliate,Mobile,0,0,0,0
2026-06-17,Google Shopping,Mobile,13,1,1,0
2025-03-22,Facebook/Instagram Ads,Desktop,5,0,0,0
2025-12-20,AFFILIATE,Mobile,5,2,2,0
2025-12-06,Affiliate,Desktop,3,0,0,0
2025-03-21,Google  Search,Mobile,10,1,1,0
2026-06-23,Google Shopping,Desktop,5,0,0,0
2026-02-10,Google Search,Desktop,2,0,0,0
2025-04-04,Direct,Mobile,3,0,0,0
2025-11-08,Meta Ads,Desktop,11,0,0,0
2025-02-24,Meta Ads,Tablet,3,0,0,0
2026-04-09,EMAIL,Mobile,5,1,0,0
2025-09-30,Email,Tablet,0,0,0,0
2026-02-10,Email Marketing,Tablet,2,0,0,0
2025-10-14,Google Shopping,Tablet,0,0,0,0
2025-01-01,email,Desktop,0,0,0,0
2026-02-10,Meta Ads,Mobile,15,0,0,0
2025-08-03,(direct),Desktop,1,0,0,0
2025-10-21,Google Search,Desktop,3,0,0,0
2025-05-10,Google Shopping,Tablet,2,0,0,0
2026-02-14,Google  Search,Mobile,11,4,3,3
2025-01-26,affiliate,Mobile,3,1,0,0
2025-04-01,Affiliate,Mobile,4,0,0,0
2025-12-12,Organic Search,Mobile,12,1,1,0
2025-12-07,Meta Ads,Desktop,9,0,0,0
2025-12-15,Meta Ads,Mobile,25,0,0,0
2025-03-11,Google Search,Desktop,5,1,1,1
2025-12-10,Organic Search,Tablet,5,1,0,0
2025-11-07,Affiliate,Desktop,2,0,0,0
2025-11-15,Google Shopping,Mobile,7,0,0,0
2026-06-23,Organic Search,Mobile,9,1,0,0
2026-04-27,Meta Ads,Desktop,13,1,1,1
2026-03-04,Direct,Mobile,4,1,1,0
2025-02-12,Google  Search,Tablet,1,0,0,0
2026-04-24,email,Tablet,0,0,0,0
2025-12-20,Google  Search,Mobile,14,1,1,0
2026-06-23,Meta Ads,Desktop,13,1,1,1
2026-06-17,Google Shopping,Desktop,3,1,1,1
2025-02-04,GOOGLE SEARCH,Mobile,4,0,0,0
2026-01-19,Direct,Tablet,0,0,0,0
2026-04-30,Direct,Tablet,0,0,0,0
2025-02-17,Google Search,Tablet,0,0,0,0
2026-04-15,Google Search,Tablet,1,0,0,0
2025-07-16,EMAIL,Tablet,0,0,0,0
2025-08-24,Meta Ads,Tablet,1,0,0,0
2025-05-28,google search,Tablet,1,1,0,0
2026-04-01,email,Mobile,3,0,0,0
2025-06-24,Affiliate,Desktop,3,0,0,0
2025-10-18,Email,Tablet,0,0,0,0
2025-01-27,Google Shopping,Desktop,2,0,0,0
2026-01-11,(direct),Mobile,3,1,1,0
2026-04-23,Meta Ads,Desktop,6,0,0,0
2026-01-26,Organic Search,Desktop,0,0,0,0
2026-02-21,Email,Desktop,3,0,0,0
2026-01-04,Affiliate,Mobile,1,0,0,0
2025-08-12,Google Shopping,Tablet,0,0,0,0
2026-03-27,Direct,Mobile,1,0,0,0
2025-01-26,EMAIL,Tablet,0,0,0,0
2025-08-10,Organic Search,Tablet,1,0,0,0
2025-12-25,Organic Search,Tablet,1,1,1,1
2026-01-26,Google Shopping,Tablet,0,0,0,0
2025-02-17,Direct,Tablet,0,0,0,0
2025-12-30,google shopping,Tablet,0,0,0,0
2025-05-17,Affiliate ,Mobile,1,0,0,0
2025-06-24,Affiliate,Tablet,0,0,0,0
2025-08-09,Google Search,Tablet,2,0,0,0
2026-01-18,Meta Ads,Tablet,0,0,0,0
2026-02-08,Meta Ads,Tablet,4,0,0,0
2025-09-16,organic search,Mobile,6,0,0,0
2026-06-21,Email,Mobile,3,2,2,1
2025-10-27,Direct,Tablet,1,0,0,0
2025-02-01,Email,Tablet,1,0,0,0
2025-02-08,Direct,Tablet,1,0,0,0
2025-10-09,Organic Search,Desktop,3,2,2,2
2026-02-05,Meta Ads,Desktop,15,4,3,1
2025-01-28,Meta Ads,Mobile,10,0,0,0
2025-01-13,Meta_Ads,Tablet,0,0,0,0
2025-02-03,direct,Mobile,2,0,0,0
2025-01-15,meta ads,Tablet,2,0,0,0
2025-10-08,Affiliate,Tablet,0,0,0,0
2025-07-05,Affiliate,Desktop,3,0,0,0
2026-04-27,google search,Mobile,10,0,0,0
2025-04-05,Google Search,Tablet,1,0,0,0
2025-03-31,FB/IG Ads,Tablet,0,0,0,0
2025-03-23,Organic Search,Desktop,4,0,0,0
2025-02-21,email,Desktop,2,0,0,0
2025-01-28,Meta Ads,Desktop,3,1,0,0
2025-05-02,Google Shopping,Tablet,2,0,0,0
2025-02-01,Google Shopping,Mobile,4,0,0,0
2026-06-30,Meta Ads,Mobile,29,0,0,0
2026-04-13,Facebook/Instagram Ads,Desktop,8,0,0,0
2025-08-18,Google Search,Mobile,4,0,0,0
2026-04-09,Google Search,Tablet,2,0,0,0
2025-06-06,Direct,Mobile,5,0,0,0
2025-02-20,Email,Tablet,1,0,0,0
2025-10-19,Organic Search,Desktop,5,1,1,0
2026-05-26,Affiliate,Mobile,3,0,0,0
2025-03-17,Direct,Tablet,0,0,0,0
2025-01-13,google shopping,Mobile,6,0,0,0
2025-05-10,Google Search,Tablet,2,0,0,0
2025-09-16,Google Shopping,Tablet,1,0,0,0
2026-02-02,Organic Search,Mobile,8,1,0,0
2025-08-27,(direct),Tablet,0,0,0,0
2025-08-05,Direct,Mobile,2,1,1,0
2025-10-28,GOOGLE SHOPPING,Desktop,2,0,0,0
2025-04-23,Email,Desktop,2,2,2,0
2026-03-16,Affiliate,Desktop,6,0,0,0
2025-01-10,Organic Search,Tablet,0,0,0,0
2025-06-15,organic search,Desktop,9,1,0,0
2025-05-23,Affiliate,Mobile,1,0,0,0
2026-02-28,(direct),Desktop,2,0,0,0
2025-03-14,Email Marketing,Mobile,6,1,0,0
2025-11-30,Direct,Desktop,1,1,1,1
2025-06-06,Organic_Search,Tablet,4,0,0,0
2025-04-11,Direct,Tablet,1,0,0,0
2025-11-24,Direct,Desktop,5,0,0,0
2025-10-18,Email,Desktop,2,0,0,0
2025-06-07,EMAIL,Desktop,2,0,0,0
2026-02-14,Direct,Desktop,2,0,0,0
2026-06-12,Organic Search,Desktop,1,0,0,0
2025-10-23,EMAIL,Desktop,4,0,0,0
2025-06-16,Google Search,Desktop,5,0,0,0
2025-04-17,Google Shopping,Mobile,2,0,0,0
2025-06-08,Organic Search,Desktop,6,1,0,0
2025-02-24,FB/IG Ads,Mobile,9,0,0,0
2026-05-26,Direct,Desktop,2,0,0,0
2025-08-27,Google Search,Desktop,4,0,0,0
2026-06-15,Email,Mobile,2,1,0,0
2025-09-12,Direct,Desktop,1,0,0,0
2026-06-28,Google Shopping,Desktop,9,0,0,0
2026-06-28,Email,Mobile,5,0,0,0
2025-12-23,Organic Search,Mobile,10,1,1,1
2025-10-18,Google Search,Desktop,2,0,0,0
2025-11-27,Organic Search,Mobile,18,2,1,1
2025-09-23,SEO,Mobile,4,0,0,0
2025-05-02,Google Shopping,Mobile,9,1,1,1
2026-02-24,Affiliate,Tablet,0,0,0,0
2026-03-10,Affiliate,Desktop,1,0,0,0
2025-04-08,Google Shopping,Mobile,7,0,0,0
2025-03-23,Affiliate ,Tablet,1,0,0,0
2026-03-12,Google Search,Tablet,1,0,0,0
2026-04-01,FB/IG Ads,Desktop,16,1,0,0
2026-04-12,Meta Ads,Mobile,20,1,1,1
2025-12-01,Email,Tablet,0,0,0,0
2025-03-16,Google Search,Tablet,0,0,0,0
2025-08-08,Google Shopping,Mobile,10,1,0,0
2025-05-29,Google Shopping,Tablet,4,0,0,0
2025-12-28,Email,Desktop,0,0,0,0
2025-08-21,Google Shopping,Tablet,0,0,0,0
2026-02-15,Direct,Mobile,1,0,0,0
2025-03-17,Google Shopping,Mobile,4,0,0,0
2025-03-08,Direct,Mobile,3,0,0,0
2025-11-12,Google Search,Tablet,2,0,0,0
2025-08-30,Google_Shopping,Mobile,2,0,0,0
2026-03-25,SEO,Mobile,11,2,2,1
2025-06-23,Affiliate,Desktop,0,0,0,0
2025-04-16,EMAIL,Desktop,1,0,0,0
2026-05-11,Affiliate,Mobile,4,0,0,0
2026-02-21,Direct,Tablet,1,0,0,0
2025-09-07,Email,Tablet,0,0,0,0
2025-10-01,Direct,Desktop,6,1,0,0
2026-04-04,Email,Mobile,3,1,0,0
2026-01-02,Google Search,Mobile,5,3,1,0
2025-01-06,(direct),Mobile,2,0,0,0
2026-06-22,AFFILIATE,Tablet,0,0,0,0
2026-03-27,Google_Shopping,Desktop,1,0,0,0
2025-09-30,Organic Search,Desktop,5,0,0,0
2025-05-13,email,Tablet,2,0,0,0
2025-07-11,Meta Ads,Desktop,6,1,1,0
2026-02-28,Meta Ads,Desktop,13,0,0,0
2025-05-19,Direct,Mobile,7,3,3,3
2025-10-03,Affiliate,Desktop,2,0,0,0
2026-03-10,Google Shopping,Tablet,1,0,0,0
2025-12-23,GOOGLE SEARCH,Mobile,13,2,1,0
2026-04-24,google shopping,Mobile,5,1,1,1
2025-06-05,Google Search,Desktop,6,2,1,0
2026-06-23,FB/IG Ads,Tablet,1,0,0,0
2025-05-30,Google Shopping,Mobile,6,0,0,0
2026-02-14,Google Shopping,Tablet,0,0,0,0
2025-12-04,Organic Search,Mobile,7,1,1,1
2025-05-19,Meta Ads,Tablet,4,0,0,0
2025-06-04,Affiliate,Mobile,5,0,0,0
2026-01-30,direct,Desktop,2,0,0,0
2026-06-10,Google Shopping,Mobile,7,0,0,0
2025-08-04,SEO,Tablet,1,0,0,0
2025-02-20,Direct,Tablet,2,0,0,0
2025-09-07,Meta Ads,Desktop,6,0,0,0
2025-06-15,affiliate,Tablet,0,0,0,0
2025-03-21,GOOGLE SHOPPING,Tablet,2,1,0,0
2025-10-27,Affiliate,Mobile,3,0,0,0
2025-05-03,google shopping,Desktop,5,0,0,0
2025-12-10,Direct,Mobile,4,0,0,0
2026-04-22,google shopping,Tablet,0,0,0,0
2025-05-13,Meta Ads,Desktop,5,1,1,1
2026-05-09,google search,Mobile,8,0,0,0
2025-12-18,Meta Ads,Mobile,23,1,0,0
2026-05-30,organic search,Desktop,6,3,1,1
2025-11-15,Organic Search,Desktop,4,0,0,0
2025-12-15,Google  Search,Mobile,11,2,2,0
2025-08-17,Meta Ads,Tablet,0,0,0,0
2026-05-06,Direct,Mobile,3,0,0,0
2026-01-02,Affiliate,Mobile,2,0,0,0
2025-05-12,Google Shopping,Tablet,1,0,0,0
2025-10-13,Affiliate,Mobile,2,0,0,0
2025-01-05,Email,Mobile,5,0,0,0
2025-01-30,Google Search,Mobile,5,0,0,0
2025-07-15,Direct,Desktop,4,0,0,0
2025-03-14,Organic Search,Tablet,1,0,0,0
2025-05-29,Affiliate,Mobile,4,0,0,0
2026-04-12,Meta Ads,Tablet,2,0,0,0
2025-04-14,google search,Desktop,5,1,1,1
2025-05-24,Google Search,Mobile,10,0,0,0
2025-12-30,Affiliate,Tablet,0,0,0,0
2025-12-28,Organic Search,Mobile,5,0,0,0
2026-04-29,EMAIL,Tablet,0,0,0,0
2026-04-28,Meta Ads,Desktop,12,0,0,0
2025-06-19,Meta Ads,Tablet,4,0,0,0
2025-01-14,Email,Mobile,3,0,0,0
2025-02-20,Google Shopping,Desktop,5,0,0,0
2025-12-20,Google Search,Desktop,11,0,0,0
2026-01-15,Email,Mobile,2,0,0,0
2026-05-29,Email,Desktop,4,2,2,1
2026-05-26,Google Shopping,Tablet,2,0,0,0
2025-02-24,Organic Search,Mobile,4,0,0,0
2025-07-08,Google Shopping,Mobile,5,0,0,0
2026-02-24,FB/IG Ads,Mobile,14,1,1,1
2025-07-19,Direct,Tablet,2,0,0,0
2025-02-02,Affiliate,Mobile,4,0,0,0
2025-11-17,AFFILIATE,Desktop,1,0,0,0
2025-09-07,SEO,Tablet,0,0,0,0
2026-06-13,Meta Ads,,1,1,1,1
2025-11-02,Direct,Mobile,8,1,0,0
2025-12-25,Email,Mobile,4,0,0,0
2026-04-27,Meta Ads,Tablet,3,0,0,0
2026-03-04,Meta_Ads,Mobile,16,2,1,1
2026-06-24,Email,Mobile,5,1,1,1
2026-03-03,Affiliate,Mobile,1,0,0,0
2025-06-30,Affiliate,Tablet,0,0,0,0
2025-03-20,Google_Search,Mobile,6,0,0,0
2025-12-31,Affiliate,Mobile,4,0,0,0
2025-12-20,google shopping,Desktop,4,0,0,0
2025-03-09,Organic Search,Tablet,2,0,0,0
2025-10-10,Direct,Mobile,4,0,0,0
2025-08-18,Meta Ads,Mobile,14,0,0,0
2025-08-29,Google_Shopping,Desktop,2,0,0,0
2026-06-13,FB/IG Ads,Desktop,6,0,0,0
2026-04-18,AFFILIATE,Desktop,3,0,0,0
2025-03-23,Affiliate,Desktop,2,0,0,0
2026-05-21,Organic Search,Tablet,3,0,0,0
2025-08-10,Affiliate,Tablet,0,0,0,0
2025-10-31,Meta Ads,Desktop,10,1,0,0
2025-05-09,Meta Ads,Desktop,7,0,0,0
2025-05-03,Email,Mobile,4,1,0,0
2025-12-18,Google Search,Desktop,6,0,0,0
2025-01-23,Affiliate ,Mobile,1,0,0,0
2025-10-08,Google_Search,Mobile,15,1,0,0
2025-10-11,Email,Mobile,6,1,1,0
2025-09-01,Google Search,Mobile,3,1,1,0
2025-12-25,Meta Ads,Mobile,9,0,0,0
2025-05-05,Direct,Desktop,3,1,0,0
2026-02-10,Affiliate,Tablet,0,0,0,0
2025-07-10,Google Shopping,Desktop,5,0,0,0
2025-10-08,Google Shopping,Desktop,4,0,0,0
2025-07-22,Organic Search,Tablet,0,0,0,0
2026-04-13,organic search,Desktop,3,0,0,0
2026-05-27,affiliate,Mobile,2,0,0,0
2025-10-20,Meta Ads,Tablet,0,0,0,0
2026-02-26,Email,Mobile,2,0,0,0
2026-05-23,GOOGLE SHOPPING,Desktop,1,0,0,0
2025-02-01,Google Shopping,Desktop,0,0,0,0
2025-05-20,Meta Ads,Tablet,2,0,0,0
2025-04-03,Organic Search,Desktop,3,0,0,0
2025-07-04,Google Search,Desktop,3,1,1,1
2025-10-01,Email,Tablet,0,0,0,0
2025-06-29,Affiliate ,Desktop,1,0,0,0
2026-02-20,Email,Tablet,0,0,0,0
2025-05-25,Direct,Tablet,0,0,0,0
2025-06-25,Google Search,Desktop,5,0,0,0
2025-03-31,Organic Search,Mobile,4,0,0,0
2025-07-07,Email,Desktop,2,0,0,0
2025-03-29,Organic Search,Tablet,0,0,0,0
2026-05-16,Organic Search,Desktop,11,2,1,1
2025-08-26,Direct,Mobile,3,0,0,0
2025-05-01,Direct,Tablet,1,0,0,0
2026-03-13,FB/IG Ads,Desktop,7,0,0,0
2025-04-30,Organic Search,Tablet,1,0,0,0
2026-03-31,Affiliate,Mobile,2,0,0,0
2026-04-21,Affiliate,Desktop,1,0,0,0
2025-07-29,Email Marketing,Desktop,1,0,0,0
2025-06-03,Organic Search,Tablet,1,0,0,0
2025-03-30,Organic Search,Desktop,5,0,0,0
2026-04-02,email,Desktop,1,0,0,0
2025-01-14,(direct),Tablet,0,0,0,0
2026-01-23,EMAIL,Mobile,1,0,0,0
2026-06-20,Meta Ads,Desktop,14,0,0,0
2026-05-17,Affiliate,Tablet,1,0,0,0
2025-02-05,Google Shopping,Mobile,8,0,0,0
2025-06-20,Organic Search,Tablet,1,0,0,0
2025-12-03,Organic Search,Mobile,16,1,0,0
2025-05-24,Google Shopping,Mobile,3,0,0,0
2026-06-11,Google Shopping,Tablet,0,0,0,0
2026-03-11,Affiliate,Tablet,1,0,0,0
2025-02-25,meta ads,Mobile,10,0,0,0
2025-11-30,Google Search,Desktop,15,0,0,0
2025-02-25,Affiliate,Tablet,0,0,0,0
2025-03-15,Direct,Desktop,3,0,0,0
2025-11-22,Google Search,Tablet,1,0,0,0
2025-12-30,google search,Desktop,0,0,0,0
2026-03-13,Affiliate,Mobile,4,0,0,0
2025-11-18,Email,Tablet,0,0,0,0
2025-03-19,Affiliate ,Desktop,0,0,0,0
2025-08-30,Google Search,Desktop,5,1,0,0
2025-11-18,Affiliate,Desktop,2,1,0,0
2026-05-17,Direct,Mobile,3,0,0,0
2026-06-27,GOOGLE SHOPPING,Tablet,0,0,0,0
2025-12-20,SEO,Mobile,13,1,0,0
2025-02-20,Email,Mobile,4,1,0,0
2025-01-24,Organic Search,Desktop,1,0,0,0
2025-02-18,GOOGLE SHOPPING,Tablet,0,0,0,0
2025-08-31,Google Search,Tablet,0,0,0,0
2025-08-13,Google Search,Tablet,0,0,0,0
2025-02-16,Affiliate,Desktop,1,0,0,0
2025-12-06,Direct,Desktop,5,0,0,0
2025-08-01,email,Desktop,4,0,0,0
2025-07-16,Affiliate,Desktop,1,0,0,0
2025-10-28,Meta Ads,Desktop,7,0,0,0
2025-11-23,Google Search,Mobile,17,2,1,1
2025-02-24,Organic Search,Desktop,0,0,0,0
2026-03-18,Affiliate,Desktop,0,0,0,0
2025-08-31,Organic Search,Mobile,6,1,0,0
2025-05-01,affiliate,Mobile,5,1,1,1
2025-09-14,Meta Ads,Desktop,11,0,0,0
2025-12-21,Organic Search,Mobile,7,0,0,0
2025-03-22,Affiliate,Desktop,0,0,0,0
2026-05-15,Meta Ads,Mobile,21,4,1,1
2025-01-14,Email,Desktop,0,0,0,0
2025-12-06,Email,Desktop,5,1,1,1
2026-04-13,Google Shopping,Tablet,1,0,0,0
2026-02-07,Organic Search,Mobile,10,2,2,1
2026-04-05,Organic Search,Tablet,0,0,0,0
2026-01-02,DIRECT,Desktop,1,0,0,0
2025-10-02,organic search,Tablet,0,0,0,0
2025-12-13,Direct,Mobile,5,1,0,0
2025-03-08,Affiliate,Tablet,0,0,0,0
2025-07-11,Direct,Desktop,0,0,0,0
2025-02-14,Meta Ads,Mobile,3,0,0,0
2026-05-12,Organic Search,Desktop,6,0,0,0
2025-06-06,AFFILIATE,Tablet,0,0,0,0
2025-08-19,Google Search,Mobile,7,0,0,0
2025-10-22,Google Search,Desktop,3,0,0,0
2025-11-17,Organic_Search,Tablet,1,0,0,0
2025-08-14,Organic Search,Mobile,6,2,1,1
2026-05-23,DIRECT,Tablet,0,0,0,0
2025-09-27,Affiliate ,Desktop,0,0,0,0
2026-04-18,Meta Ads,Mobile,21,0,0,0
2025-04-30,Meta Ads,Tablet,2,1,0,0
2025-03-31,Google_Shopping,Desktop,2,0,0,0
2026-01-09,GOOGLE SHOPPING,Desktop,0,0,0,0
2025-09-07,Affiliate,Desktop,0,0,0,0
2026-01-09,Google Search,Tablet,0,0,0,0
2026-02-18,Meta Ads,Mobile,17,1,1,0
2026-03-28,Direct,Tablet,1,0,0,0
2025-03-06,Google Shopping,Tablet,1,0,0,0
2026-04-12,Affiliate,Tablet,1,0,0,0
2026-03-04,Email,Desktop,2,0,0,0
2025-07-23,Direct,Tablet,0,0,0,0
2026-01-15,Organic Search,Desktop,2,1,1,0
2025-08-06,Affiliate,Tablet,2,0,0,0
2025-07-08,GOOGLE SEARCH,Mobile,6,0,0,0
2025-08-12,Email,Mobile,3,0,0,0
2025-09-29,Organic Search,Desktop,7,1,1,0
2025-10-23,(direct),Desktop,0,0,0,0
2026-06-24,Organic Search,Mobile,9,1,0,0
2026-06-07,DIRECT,Desktop,4,0,0,0
2026-01-25,Google Search,Desktop,4,1,0,0
2025-03-15,Email,Mobile,5,0,0,0
2026-01-09,Organic Search,Desktop,3,0,0,0
2025-04-23,Meta Ads,Desktop,11,1,0,0
2025-10-09,Google Search,Tablet,1,0,0,0
2025-05-21,Affiliate,Desktop,1,0,0,0
2025-09-30,Google Search,Tablet,1,1,1,1
2026-01-15,Organic Search,Tablet,0,0,0,0
2026-06-09,Affiliate,Tablet,2,0,0,0
2025-07-24,Email,Mobile,3,1,0,0
2026-04-10,Google Search,Mobile,3,0,0,0
2025-09-26,Email,Mobile,5,0,0,0
2025-02-28,Organic Search,Mobile,4,0,0,0
2026-04-26,Google Search,Desktop,5,1,1,0
2025-12-02,Meta Ads,Desktop,16,0,0,0
2026-01-17,Direct,Tablet,0,0,0,0
2025-12-21,Affiliate,Desktop,3,1,0,0
2025-10-11,Meta Ads,Desktop,9,0,0,0
2026-01-27,Affiliate,Mobile,2,0,0,0
2025-02-23,Affiliate,Tablet,0,0,0,0
2025-05-30,Affiliate ,Tablet,1,0,0,0
2025-01-23,Meta Ads,Tablet,1,0,0,0
2025-06-16,Direct,Tablet,1,0,0,0
2025-08-27,Organic Search,Desktop,3,0,0,0
2026-06-06,Affiliate ,Tablet,0,0,0,0
2025-08-17,Organic Search,Tablet,0,0,0,0
2026-06-22,Organic Search,Tablet,2,0,0,0
2025-09-02,Organic Search,Mobile,2,0,0,0
2025-02-22,GOOGLE SHOPPING,Tablet,1,0,0,0
2025-04-18,Google Search,Tablet,0,0,0,0
2025-06-23,Affiliate,Mobile,1,0,0,0
2025-12-21,Google Shopping,Desktop,5,1,1,1
2025-01-23,Direct,Tablet,0,0,0,0
2025-12-20,Email,Tablet,0,0,0,0
2026-04-23,Google Search,Desktop,6,0,0,0
2025-11-01,direct,Desktop,0,0,0,0
2026-05-23,SEO,Tablet,0,0,0,0
2025-03-16,FB/IG Ads,Tablet,2,0,0,0
2025-09-23,Direct,Mobile,5,0,0,0
2025-06-10,Meta_Ads,Tablet,2,0,0,0
2026-04-30,Meta Ads,Desktop,7,0,0,0
2026-06-12,Google Shopping,Desktop,7,0,0,0
2025-11-15,Affiliate,Tablet,0,0,0,0
2026-04-29,Google Shopping,Desktop,5,1,0,0
2025-01-09,Meta Ads,Mobile,4,0,0,0
2026-04-23,Organic Search,Desktop,5,0,0,0
2025-07-11,Email,Desktop,0,0,0,0
2025-10-21,Google_Shopping,Tablet,2,0,0,0
2025-08-01,Google_Shopping,Tablet,2,0,0,0
2026-02-27,Direct,Desktop,1,0,0,0
2025-08-18,Organic Search,Desktop,5,0,0,0
2025-01-01,EMAIL,Mobile,4,1,0,0
