date,channel,campaign,impressions,clicks,spend
2025-06-30,google search,Non-Brand - Competitor,430,18,9.22
2025-10-07,Google Shopping,Shopping - New Launches,322,13,5.48
2025-08-05,FB/IG Ads,Prospecting - Video,277,14,10.58
2026-03-11,Meta Ads,Prospecting - Video,502,25,£21.11
2025-05-23,Google Search,Brand - Search,499,20,10.84
2025-01-17,Google Shopping,Shopping - New Launches,380,12,4.7
2025-08-23,Affiliate ,Affiliate - Beauty Bloggers,63,2,0.44
2025-11-23,Google_Shopping,Shopping - Bestsellers,400,14,5.48
2025-01-31,Google Search,Non-Brand - Competitor,265,13,7.16
2025-09-11,Google Shopping,Shopping - Bestsellers,297,13,5.77
2025-05-31,Google Shopping,Shopping - New Launches,310,14,5.51
2026-06-14,GOOGLE SEARCH,Brand - Search,353,16,£8.48
2025-06-01,Meta Ads,Retargeting - Carousel,524,22,15.4
2026-06-26,Affiliate,Affiliate - Cashback Sites,234,11,£2.26
2026-06-01,Google Search,Non-Brand - Generic,591,24,12.24
2025-04-01,Meta Ads,Prospecting - Video,281,15,9.64
2026-01-20,Affiliate,Affiliate - Beauty Bloggers,192,8,£1.87
2025-04-03,Google  Search,Non-Brand - Competitor,344,14,7.77
2025-12-31,Meta Ads,Prospecting - Video,385,14,11.8
2026-01-19,Google Shopping,Shopping - Bestsellers,86,3,1.27
2025-06-07,Google_Shopping,Shopping - New Launches,75,3,1.12
2025-07-20,FB/IG Ads,Retargeting - Carousel,354,16,10.63
2025-01-18,AFFILIATE,Affiliate - Beauty Bloggers,58,2,0.46
2025-10-10,meta ads,Prospecting - Static,340,16,11.35
2025-02-04,Affiliate,Affiliate - Beauty Bloggers,206,8,1.84
2025-06-05,Google Shopping,Shopping - Bestsellers,165,8,3.46
2025-08-16,Google_Search,Non-Brand - Generic,184,10,5.32
2025-04-19,Google Search,Brand - Search,338,12,£7.07
2025-11-19,google shopping,Shopping - Bestsellers,338,11,4.94
2025-11-06,GOOGLE SEARCH,Non-Brand - Generic,242,13,7.21
2025-12-19,Google Search,Brand - Search,493,22,11.52
2025-02-14,google shopping,Shopping - New Launches,86,4,1.66
2026-04-05,Google Shopping,Shopping - New Launches,186,6,2.44
2026-03-02,Affiliate,Affiliate - Beauty Bloggers,277,9,£2.01
2025-01-14,Meta Ads,Prospecting - Static,249,8,4.3
2025-03-15,Google Shopping,Shopping - Bestsellers,443,18,7.88
2025-07-23,Google Search,Non-Brand - Competitor,433,20,11.04
2025-03-15,Affiliate ,Affiliate - Beauty Bloggers,211,9,1.81
2025-06-06,meta ads,Retargeting - Carousel,241,10,6.87
2025-11-26,Google Search,Brand - Search,841,28,15.72
2025-10-14,Google Shopping,Shopping - Bestsellers,342,11,4.54
2025-07-07,google search,Non-Brand - Competitor,200,7,3.51
2026-02-14,Affiliate,Affiliate - Beauty Bloggers,55,2,0.44
2025-05-18,Google Shopping,Shopping - Bestsellers,389,15,6.19
2026-01-06,Google  Search,Non-Brand - Competitor,41,2,1.1
2025-02-06,Facebook/Instagram Ads,Prospecting - Video,382,12,£7.51
2025-10-03,Affiliate,Affiliate - Beauty Bloggers,116,5,1.06
2025-09-13,Google_Search,Non-Brand - Generic,366,16,8.27
2025-09-24,Google Shopping,Shopping - Bestsellers,110,5,2.0
2026-03-07,meta ads,Prospecting - Static,408,22,19.97
2025-03-03,Affiliate ,Affiliate - Cashback Sites,0,0,£0.00
2025-12-29,Google Search,Brand - Search,413,15,8.22
2025-09-10,Google Search,Brand - Search,109,4,2.13
2025-08-04,Affiliate ,Affiliate - Beauty Bloggers,63,3,0.68
2026-04-10,Google Shopping,Shopping - Bestsellers,370,12,5.07
2025-04-15,Affiliate,Affiliate - Beauty Bloggers,103,4,0.84
2025-06-16,Google Search,Non-Brand - Competitor,222,9,4.79
2025-11-28,Affiliate,Affiliate - Beauty Bloggers,295,11,2.49
2026-02-02,Affiliate,Affiliate - Beauty Bloggers,106,4,0.84
2026-02-14,Google_Shopping,Shopping - Bestsellers,102,4,1.58
2025-04-23,Google  Search,Brand - Search,138,7,4.07
2026-02-01,Google Shopping,Shopping - Bestsellers,259,10,£3.77
2026-01-10,Affiliate,Affiliate - Cashback Sites,157,5,1.11
2025-05-01,Meta Ads,Retargeting - Carousel,362,15,10.44
2025-02-18,Meta Ads,Retargeting - Carousel,368,18,10.27
2025-05-08,Affiliate ,Affiliate - Cashback Sites,30,1,0.23
2026-03-01,Affiliate,Affiliate - Beauty Bloggers,76,3,0.64
2026-01-04,Google Search,Brand - Search,343,12,6.26
2026-02-25,Affiliate,Affiliate - Cashback Sites,25,1,0.21
2026-01-02,Google Shopping,Shopping - New Launches,0,0,£0.00
2025-05-31,Google Search,Non-Brand - Generic,645,22,11.83
2025-11-18,Google  Search,Non-Brand - Competitor,506,25,13.66
2025-04-27,Google Search,Non-Brand - Generic,397,16,9.13
2026-06-08,Meta Ads,Prospecting - Static,979,38,£34.01
2026-02-23,Google Search,Non-Brand - Competitor,324,13,6.78
2026-06-05,Affiliate,Affiliate - Cashback Sites,178,9,£2.04
2025-07-19,Google Shopping,Shopping - Bestsellers,96,4,1.8
2025-03-29,Google Search,Non-Brand - Generic,169,8,4.5
2025-02-24,Google Shopping,Shopping - Bestsellers,165,9,4.17
2025-06-27,Meta Ads,Retargeting - Carousel,793,34,£23.20
2025-05-25,Meta Ads,Prospecting - Static,753,26,17.89
2025-05-06,Google Shopping,Shopping - New Launches,382,15,6.31
2025-04-04,meta ads,Prospecting - Static,382,14,9.21
2025-02-25,Google Search,Non-Brand - Generic,464,20,10.65
2025-02-14,Meta Ads,Retargeting - Carousel,163,7,4.14
2025-04-24,Google Search,Brand - Search,385,16,8.94
2025-10-31,Google Search,Brand - Search,293,11,5.85
2025-01-23,Google Search,Non-Brand - Competitor,121,5,2.78
2025-06-20,Google Search,Non-Brand - Competitor,481,17,9.81
2026-04-27,Affiliate,Affiliate - Cashback Sites,99,5,£1.04
2026-05-05,meta ads,Prospecting - Video,1413,48,45.37
2025-07-25,Meta Ads,Prospecting - Video,674,22,14.85
2025-06-15,google shopping,Shopping - New Launches,267,14,5.61
2026-04-10,Google  Search,Non-Brand - Generic,242,8,4.54
2025-08-03,Google Search,Non-Brand - Competitor,249,13,6.52
2025-10-06,Meta Ads,Prospecting - Static,636,25,20.71
2025-01-08,Google Shopping,Shopping - Bestsellers,176,8,3.44
2025-03-17,Google  Search,Non-Brand - Competitor,202,7,3.7
2025-12-26,Google_Shopping,Shopping - Bestsellers,144,6,£2.50
2026-01-17,Google Search,Non-Brand - Competitor,180,7,3.71
2026-01-23,google shopping,Shopping - Bestsellers,0,0,0.0
2025-08-30,Meta Ads,Retargeting - Carousel,643,25,18.36
2025-05-31,Meta Ads,Prospecting - Static,969,31,20.75
2025-12-18,Google Search,Brand - Search,501,23,14.01
2025-02-20,Google_Shopping,Shopping - Bestsellers,370,13,5.26
2026-04-15,Google Search,Brand - Search,523,19,11.11
2025-02-01,Meta Ads,Prospecting - Static,558,21,12.13
2026-05-18,GOOGLE SHOPPING,Shopping - Bestsellers,252,14,6.16
2025-03-13,Google Shopping,Shopping - Bestsellers,541,20,9.11
2025-11-05,Google Search,Non-Brand - Competitor,508,21,12.3
2025-09-28,Google Shopping,Shopping - New Launches,113,4,1.65
2026-04-02,Google Search,Brand - Search,108,6,£3.38
2026-06-30,Google  Search,Brand - Search,526,27,15.42
2025-11-27,Affiliate ,Affiliate - Cashback Sites,426,14,3.25
2026-01-08,google shopping,Shopping - New Launches,277,11,4.71
2025-04-17,Google Shopping,Shopping - Bestsellers,80,4,1.75
2025-11-25,Meta Ads,Prospecting - Video,1420,68,50.29
2026-06-28,Affiliate,Affiliate - Cashback Sites,174,8,1.74
2026-01-04,Google Shopping,Shopping - New Launches,115,6,2.34
2026-03-17,Google Search,Non-Brand - Competitor,549,23,13.0
2025-05-08,Google Shopping,Shopping - Bestsellers,477,21,9.22
2026-03-13,Google Shopping,Shopping - New Launches,215,9,4.02
2025-11-21,Google Search,Brand - Search,506,17,8.93
2026-04-07,Google Shopping,Shopping - New Launches,172,6,2.51
2025-09-19,Meta Ads,Prospecting - Video,308,16,11.99
2025-07-04,Affiliate,Affiliate - Cashback Sites,141,7,1.64
2025-10-25,Affiliate,Affiliate - Beauty Bloggers,0,0,0.0
2026-05-20,Meta Ads,Prospecting - Static,1117,43,37.69
2025-05-11,google shopping,Shopping - Bestsellers,374,16,7.58
2025-03-09,Google Shopping,Shopping - Bestsellers,40,2,0.8
2025-02-11,Meta Ads,Prospecting - Static,436,19,11.34
2025-12-02,Google Search,Brand - Search,588,19,10.2
2025-04-19,Google Shopping,Shopping - Bestsellers,179,8,2.98
2025-09-15,Affiliate,Affiliate - Cashback Sites,73,4,0.9
2025-04-22,GOOGLE SEARCH,Brand - Search,342,19,9.48
2025-02-03,Google Search,Brand - Search,359,14,7.54
2026-03-23,Google Search,Brand - Search,175,7,£4.05
2025-10-28,Google Shopping,Shopping - New Launches,119,4,1.76
2025-01-19,Google  Search,Brand - Search,260,11,5.79
2026-02-25,Google Search,Non-Brand - Competitor,169,7,3.85
2025-09-20,Affiliate,Affiliate - Cashback Sites,25,1,0.2
2025-10-26,Affiliate,Affiliate - Cashback Sites,23,1,0.21
2025-01-30,Google Shopping,Shopping - New Launches,363,16,7.19
2026-06-20,Affiliate,Affiliate - Cashback Sites,108,4,0.87
2025-07-12,Google Shopping,Shopping - Bestsellers,131,6,2.7
2025-08-22,Affiliate ,Affiliate - Cashback Sites,19,1,0.23
2025-03-12,Affiliate,Affiliate - Cashback Sites,146,5,1.12
2026-02-26,Affiliate,Affiliate - Cashback Sites,196,8,1.84
2025-04-27,Meta Ads,Prospecting - Video,636,20,13.64
2025-09-02,Meta Ads,Retargeting - Carousel,1243,43,34.41
2025-02-16,Meta Ads,Prospecting - Video,572,20,12.25
2025-02-13,Affiliate,Affiliate - Cashback Sites,128,7,£1.57
2026-04-04,Affiliate,Affiliate - Cashback Sites,80,3,0.68
2026-03-24,Google Search,Non-Brand - Competitor,367,16,9.0
2025-02-24,Affiliate,Affiliate - Cashback Sites,59,2,0.48
2026-04-26,Affiliate ,Affiliate - Beauty Bloggers,62,2,0.45
2025-11-12,Affiliate,Affiliate - Beauty Bloggers,78,3,0.74
2026-04-20,Google_Shopping,Shopping - Bestsellers,225,9,4.02
2026-03-18,Affiliate,Affiliate - Beauty Bloggers,0,0,£0.00
2026-03-10,Affiliate,Affiliate - Cashback Sites,110,5,1.0
2025-01-12,Affiliate,Affiliate - Beauty Bloggers,58,2,0.42
2025-06-27,Google Search,Brand - Search,506,16,8.83
2026-03-16,google shopping,Shopping - Bestsellers,63,3,1.21
2025-07-16,Affiliate,Affiliate - Beauty Bloggers,61,2,0.47
2025-09-04,Google_Shopping,Shopping - Bestsellers,191,10,4.0
2025-03-15,Google Search,Brand - Search,477,19,9.75
2025-08-27,GOOGLE SEARCH,Non-Brand - Generic,182,10,5.62
2025-01-09,Google Shopping,Shopping - New Launches,165,8,3.06
2025-07-29,Meta Ads,Retargeting - Carousel,590,19,13.22
2025-10-11,Meta Ads,Prospecting - Static,573,25,19.54
2026-01-01,Google Search,Brand - Search,268,9,4.47
2025-09-16,affiliate,Affiliate - Beauty Bloggers,54,2,0.41
2025-07-24,Google Search,Brand - Search,121,5,2.85
2026-05-30,Meta_Ads,Prospecting - Video,1219,46,41.15
2025-07-15,Affiliate,Affiliate - Cashback Sites,84,4,0.84
2025-11-29,google shopping,Shopping - Bestsellers,199,11,4.6
2025-03-03,Meta Ads,Retargeting - Carousel,455,18,11.29
2026-05-14,Google Search,Brand - Search,381,15,8.64
2026-06-04,Meta Ads,Prospecting - Video,1067,58,56.07
2026-01-01,Affiliate,Affiliate - Beauty Bloggers,22,1,0.22
2025-12-07,Affiliate,Affiliate - Beauty Bloggers,18,1,0.23
2025-08-03,Google Shopping,Shopping - Bestsellers,174,8,3.5
2025-03-27,Meta_Ads,Retargeting - Carousel,323,12,£7.00
2025-03-23,Meta Ads,Prospecting - Video,313,15,7.93
2025-11-03,Affiliate,Affiliate - Beauty Bloggers,161,6,£1.39
2026-04-22,Google Shopping,Shopping - Bestsellers,444,15,6.75
2026-01-14,Google Search,Non-Brand - Generic,375,14,7.25
2025-09-19,affiliate,Affiliate - Cashback Sites,39,2,£0.41
2025-04-28,GOOGLE SHOPPING,Shopping - New Launches,418,17,6.99
2025-07-09,google search,Non-Brand - Competitor,236,11,6.22
2026-02-22,Affiliate,Affiliate - Beauty Bloggers,438,14,3.06
2025-02-09,Google  Search,Brand - Search,460,15,8.03
2025-03-31,Google Search,Brand - Search,218,8,4.2
2025-09-02,Google Shopping,Shopping - New Launches,117,6,2.49
2026-04-10,Meta Ads,Prospecting - Video,690,34,32.89
2025-09-12,google shopping,Shopping - Bestsellers,354,14,£6.33
2025-03-26,Meta Ads,Retargeting - Carousel,294,12,7.57
2026-02-14,Meta Ads,Prospecting - Video,596,25,21.69
2026-04-29,Meta Ads,Prospecting - Video,615,33,24.38
2025-08-25,Google Shopping,Shopping - Bestsellers,178,9,3.72
2025-07-08,Google Shopping,Shopping - Bestsellers,125,6,2.53
2025-09-26,Google Shopping,Shopping - New Launches,250,8,3.27
2025-01-13,Affiliate,Affiliate - Cashback Sites,29,1,0.19
2025-04-15,Google Search,Non-Brand - Competitor,369,19,10.0
2025-01-04,Google Search,Non-Brand - Generic,429,14,7.77
2025-08-16,Meta Ads,Retargeting - Carousel,483,17,£11.82
2025-09-07,Affiliate,Affiliate - Cashback Sites,54,3,0.66
2026-03-09,FB/IG Ads,Retargeting - Carousel,1212,42,£34.74
2025-04-15,Google Shopping,Shopping - Bestsellers,319,10,4.24
2025-12-21,Google Shopping,Shopping - New Launches,317,16,6.75
2026-06-21,Meta Ads,Retargeting - Carousel,825,28,£28.03
2026-05-13,Meta Ads,Prospecting - Static,759,42,36.63
2025-05-12,Affiliate,Affiliate - Beauty Bloggers,89,3,0.65
2025-10-21,google search,Non-Brand - Competitor,304,12,6.51
2025-12-21,Meta Ads,Retargeting - Carousel,668,32,26.58
2025-12-26,AFFILIATE,Affiliate - Beauty Bloggers,20,1,0.21
2026-02-24,Google Shopping,Shopping - New Launches,77,3,1.25
2025-12-14,Google Shopping,Shopping - New Launches,318,13,4.89
2026-04-22,Affiliate,Affiliate - Cashback Sites,108,5,1.17
2025-05-27,Meta Ads,Retargeting - Carousel,658,23,£15.13
2025-06-30,affiliate,Affiliate - Cashback Sites,89,4,0.89
2025-01-01,google shopping,Shopping - Bestsellers,209,7,2.89
2025-08-02,Affiliate ,Affiliate - Beauty Bloggers,216,8,1.7
2025-09-05,AFFILIATE,Affiliate - Cashback Sites,119,5,1.07
2025-01-29,Affiliate,Affiliate - Beauty Bloggers,109,4,£0.88
2026-06-27,Affiliate,Affiliate - Cashback Sites,55,2,0.46
2025-03-26,GOOGLE SEARCH,Brand - Search,429,18,9.54
2026-05-24,Affiliate,Affiliate - Cashback Sites,132,6,1.33
2025-01-27,Google Search,Non-Brand - Competitor,295,13,7.22
2025-02-12,Affiliate,Affiliate - Beauty Bloggers,63,2,0.46
2026-01-15,Google Shopping,Shopping - New Launches,405,18,7.82
2026-05-10,Affiliate,Affiliate - Beauty Bloggers,119,6,1.3
2025-01-07,Meta Ads,Prospecting - Static,319,17,9.55
2025-08-14,Affiliate ,Affiliate - Beauty Bloggers,348,11,2.56
2025-11-10,FB/IG Ads,Prospecting - Static,1005,40,£31.18
2025-03-14,Google Search,Non-Brand - Competitor,313,12,6.65
2025-02-15,Google Shopping,Shopping - New Launches,435,17,7.35
2026-06-03,Meta Ads,Retargeting - Carousel,1413,46,42.51
2026-01-07,Meta Ads,Prospecting - Video,326,14,£12.06
2025-01-06,Google Search,Non-Brand - Generic,262,9,4.86
2026-05-27,Google Search,Non-Brand - Generic,616,29,16.27
2025-05-01,Google Search,Non-Brand - Generic,581,20,10.97
2025-05-20,affiliate,Affiliate - Cashback Sites,112,5,1.06
2026-02-13,GOOGLE SEARCH,Brand - Search,232,12,7.03
2025-08-27,Meta Ads,Prospecting - Static,685,25,18.0
2025-10-24,Meta Ads,Prospecting - Static,622,25,18.54
2025-07-19,Google Search,Brand - Search,372,12,7.39
2025-08-01,Affiliate,Affiliate - Cashback Sites,154,7,1.57
2025-02-25,Meta Ads,Prospecting - Video,607,25,14.66
2025-05-09,Google Shopping,Shopping - New Launches,400,18,7.44
2026-02-10,Meta Ads,Prospecting - Video,692,30,£24.89
2026-04-06,google shopping,Shopping - New Launches,191,8,3.22
2025-06-13,Google Shopping,Shopping - Bestsellers,394,13,5.78
2026-06-01,Meta Ads,Retargeting - Carousel,879,37,38.08
2025-07-09,Google Shopping,Shopping - New Launches,371,20,9.11
2026-01-26,Facebook/Instagram Ads,Prospecting - Static,400,16,£13.92
2025-09-04,Affiliate,Affiliate - Beauty Bloggers,73,3,0.67
2025-11-24,Meta Ads,Prospecting - Video,1525,49,37.65
2025-08-04,Google Shopping,Shopping - New Launches,95,5,2.01
2026-03-19,Affiliate,Affiliate - Cashback Sites,224,9,1.98
2025-04-09,Affiliate,Affiliate - Cashback Sites,26,1,0.22
2026-03-12,Meta Ads,Prospecting - Video,1013,42,38.85
2025-05-17,Google  Search,Non-Brand - Generic,275,15,8.62
2026-05-31,AFFILIATE,Affiliate - Beauty Bloggers,210,7,1.55
2026-03-13,AFFILIATE,Affiliate - Beauty Bloggers,297,12,2.62
2025-10-16,Google Search,Brand - Search,442,19,10.05
2025-12-02,Meta Ads,Prospecting - Static,565,28,23.18
2026-05-20,Google  Search,Brand - Search,726,26,16.02
2025-04-21,Google Shopping,Shopping - Bestsellers,270,9,3.64
2025-08-10,Meta Ads,Retargeting - Carousel,733,32,22.95
2026-03-08,Affiliate,Affiliate - Cashback Sites,171,8,£1.82
2025-02-17,Affiliate,Affiliate - Beauty Bloggers,225,9,2.11
2025-06-02,Meta Ads,Retargeting - Carousel,244,11,6.97
2025-05-22,Google Search,Non-Brand - Generic,573,19,10.92
2025-01-04,Affiliate,Affiliate - Beauty Bloggers,227,8,1.73
2026-06-21,Google Shopping,Shopping - New Launches,331,11,4.1
2026-01-13,Meta Ads,Prospecting - Static,856,38,£29.05
2025-09-07,Google Shopping,Shopping - New Launches,596,20,8.29
2025-07-30,Google Search,Brand - Search,307,12,6.53
2025-02-07,Google Shopping,Shopping - New Launches,382,17,7.59
2025-07-11,AFFILIATE,Affiliate - Cashback Sites,200,7,1.66
2025-06-27,AFFILIATE,Affiliate - Beauty Bloggers,26,1,0.22
2025-04-18,Meta Ads,Prospecting - Static,190,8,4.84
2025-09-12,Meta Ads,Prospecting - Static,408,21,15.07
2025-08-27,Affiliate,Affiliate - Beauty Bloggers,153,5,£1.05
2025-09-30,Affiliate,Affiliate - Beauty Bloggers,38,2,0.42
2025-11-11,Google Shopping,Shopping - New Launches,287,9,3.7
2026-02-27,Google Shopping,Shopping - Bestsellers,129,5,2.14
2026-04-25,Meta Ads,Prospecting - Static,696,28,24.16
2025-10-05,Meta Ads,Prospecting - Static,534,22,17.01
2025-12-12,Meta Ads,Prospecting - Video,409,17,
2025-05-27,Affiliate,Affiliate - Cashback Sites,21,1,0.24
2025-02-13,google search,Non-Brand - Generic,195,9,4.36
2025-04-21,Affiliate,Affiliate - Beauty Bloggers,338,13,3.03
2025-05-31,Affiliate,Affiliate - Beauty Bloggers,177,6,1.23
2025-06-26,Google Search,Non-Brand - Generic,658,23,12.37
2025-05-20,Google_Search,Brand - Search,281,10,5.45
2025-07-22,Affiliate,Affiliate - Beauty Bloggers,0,0,0.0
2025-07-04,Google Shopping,Shopping - New Launches,209,7,2.76
2025-08-30,Google Shopping,Shopping - New Launches,164,6,2.66
2025-06-12,Google Shopping,Shopping - Bestsellers,141,7,£3.03
2025-11-14,Meta Ads,Prospecting - Video,1436,46,36.78
2025-11-04,Affiliate,Affiliate - Beauty Bloggers,467,15,3.23
2025-10-25,Meta Ads,Retargeting - Carousel,584,21,16.17
2025-04-26,Affiliate,Affiliate - Cashback Sites,58,3,0.63
2025-11-20,Google_Shopping,Shopping - New Launches,429,20,9.0
2025-03-16,Affiliate,Affiliate - Beauty Bloggers,150,6,1.18
2026-01-31,Google Shopping,Shopping - Bestsellers,273,12,5.32
2025-03-28,affiliate,Affiliate - Beauty Bloggers,137,5,1.0
2026-05-06,Meta Ads,Retargeting - Carousel,902,31,£30.17
2026-02-26,Meta Ads,Prospecting - Video,823,34,28.77
2025-10-28,Affiliate,Affiliate - Beauty Bloggers,267,11,2.29
2025-06-04,Affiliate,Affiliate - Cashback Sites,235,8,£1.70
2025-09-22,Google_Search,Non-Brand - Competitor,333,13,7.42
2025-09-22,Meta Ads,Prospecting - Static,720,26,£19.78
2026-01-27,Google Search,Non-Brand - Competitor,155,5,2.63
2025-11-17,Meta Ads,Prospecting - Static,568,29,21.99
2026-04-06,Affiliate,Affiliate - Cashback Sites,124,5,£1.11
2026-04-29,Google Shopping,Shopping - New Launches,307,11,4.66
2025-07-31,Google Shopping,Shopping - Bestsellers,262,11,4.78
2026-01-17,Meta Ads,Prospecting - Static,818,29,22.9
2026-02-03,Google_Search,Non-Brand - Competitor,359,13,7.44
2025-11-28,Google Shopping,Shopping - Bestsellers,442,22,9.57
2026-02-11,Google Search,Non-Brand - Competitor,254,12,6.89
2026-03-31,Affiliate,Affiliate - Beauty Bloggers,101,4,0.85
2026-03-06,Google Search,Non-Brand - Generic,341,14,7.85
2025-03-21,Google_Search,Non-Brand - Competitor,315,17,10.0
2025-02-04,Google Search,Brand - Search,227,12,6.41
2026-05-09,Meta Ads,Retargeting - Carousel,1345,44,39.85
2025-02-03,Affiliate,Affiliate - Beauty Bloggers,19,1,0.22
2025-02-20,Meta Ads,Prospecting - Video,663,30,18.47
2025-03-30,Facebook/Instagram Ads,Prospecting - Video,334,15,£9.71
2025-10-23,Affiliate,Affiliate - Cashback Sites,199,7,1.55
2025-09-11,Meta_Ads,Prospecting - Static,471,22,16.35
2025-05-11,Affiliate,Affiliate - Beauty Bloggers,183,10,2.21
2025-11-25,Affiliate,Affiliate - Beauty Bloggers,233,9,1.9
2025-08-28,Meta Ads,Prospecting - Video,598,19,14.37
2025-06-01,Affiliate,Affiliate - Beauty Bloggers,65,3,0.64
2026-03-19,Google Search,Non-Brand - Generic,470,20,10.04
2025-08-21,Google Shopping,Shopping - New Launches,153,5,2.08
2025-12-17,affiliate,Affiliate - Cashback Sites,76,4,£0.94
2026-06-09,Google Shopping,Shopping - Bestsellers,292,10,4.25
2026-01-28,google shopping,Shopping - Bestsellers,403,13,£5.70
2025-09-16,Google_Shopping,Shopping - New Launches,264,11,4.74
2026-02-09,Affiliate,Affiliate - Beauty Bloggers,259,9,1.93
2026-03-11,Google_Shopping,Shopping - New Launches,145,6,2.62
2025-06-25,Google Shopping,Shopping - New Launches,212,8,£3.60
2026-05-29,Google Search,Brand - Search,371,13,6.87
2025-10-02,Meta Ads,Prospecting - Video,653,31,22.09
2025-05-07,FB/IG Ads,Prospecting - Static,442,22,13.04
2025-02-22,Google Search,Non-Brand - Generic,342,15,8.98
2025-11-03,GOOGLE SHOPPING,Shopping - New Launches,406,15,6.47
2025-05-24,GOOGLE SHOPPING,Shopping - New Launches,174,7,3.31
2025-03-08,Meta Ads,Retargeting - Carousel,548,21,12.02
2025-10-27,Google Shopping,Shopping - New Launches,390,16,6.63
2026-05-21,affiliate,Affiliate - Cashback Sites,24,1,0.23
2026-01-18,Affiliate,Affiliate - Beauty Bloggers,117,4,0.86
2026-06-27,Meta Ads,Prospecting - Video,1518,54,£50.87
2026-04-04,FB/IG Ads,Prospecting - Video,688,24,£21.81
